"","Electoral District","Year","Party","2014 Percent","lowr","upr"
"507","Waimakariri",2017,"Green Party",0.0887,0,0
"508","Waimakariri",2017,"Labour Party",0.1896,0,0
"509","Waimakariri",2017,"Mana",0.0039,0,0
"510","Waimakariri",2017,"Maori Party",0.0026,0,0
"511","Waimakariri",2017,"National Party",0.5751,0,0
"512","Waimakariri",2017,"New Zealand First Party",0.0847,0,0
"513","Waimakariri",2017,"United Future",0.0018,0,0
"514","Wairarapa",2017,"ACT",0.0033,0,0
"515","Wairarapa",2017,"Conservative Party",0.0434,0,0
"516","Wairarapa",2017,"Green Party",0.0838,0,0
"517","Wairarapa",2017,"Labour Party",0.2062,0,0
"518","Wairarapa",2017,"Mana",0.0044,0,0
"519","Wairarapa",2017,"Maori Party",0.0056,0,0
"520","Wairarapa",2017,"National Party",0.5248,0,0
"521","Wairarapa",2017,"New Zealand First Party",0.1174,0,0
"522","Wairarapa",2017,"United Future",0.0016,0,0
"523","Waitaki",2017,"ACT",0.0027,0,0
"524","Waitaki",2017,"Conservative Party",0.0439,0,0
"525","Waitaki",2017,"Green Party",0.1106,0,0
"526","Waitaki",2017,"Labour Party",0.1807,0,0
"527","Waitaki",2017,"Mana",0.004,0,0
"528","Waitaki",2017,"Maori Party",0.0026,0,0
"529","Waitaki",2017,"National Party",0.5716,0,0
"530","Waitaki",2017,"New Zealand First Party",0.0697,0,0
"531","Waitaki",2017,"United Future",0.0024,0,0
"532","Wellington Central",2017,"ACT",0.007,0,0
"533","Wellington Central",2017,"Conservative Party",0.0151,0,0
"534","Wellington Central",2017,"Green Party",0.2958,0,0
"535","Wellington Central",2017,"Labour Party",0.2384,0,0
"536","Wellington Central",2017,"Mana",0.0148,0,0
"537","Wellington Central",2017,"Maori Party",0.0077,0,0
"538","Wellington Central",2017,"National Party",0.3764,0,0
"539","Wellington Central",2017,"New Zealand First Party",0.0358,0,0
"540","Wellington Central",2017,"United Future",0.003,0,0
"541","West Coast-Tasman",2017,"ACT",0.0026,0,0
"542","West Coast-Tasman",2017,"Conservative Party",0.0512,0,0
"543","West Coast-Tasman",2017,"Green Party",0.1299,0,0
"544","West Coast-Tasman",2017,"Labour Party",0.2353,0,0
"545","West Coast-Tasman",2017,"Mana",0.0076,0,0
"546","West Coast-Tasman",2017,"Maori Party",0.0028,0,0
"547","West Coast-Tasman",2017,"National Party",0.4478,0,0
"548","West Coast-Tasman",2017,"New Zealand First Party",0.0871,0,0
"549","West Coast-Tasman",2017,"United Future",0.002,0,0
"550","Whanganui",2017,"ACT",0.0047,0,0
"551","Whanganui",2017,"Conservative Party",0.0502,0,0
"552","Whanganui",2017,"Green Party",0.0721,0,0
"553","Whanganui",2017,"Labour Party",0.2553,0,0
"554","Whanganui",2017,"Mana",0.0073,0,0
"555","Whanganui",2017,"Maori Party",0.0058,0,0
"556","Whanganui",2017,"National Party",0.4728,0,0
"557","Whanganui",2017,"New Zealand First Party",0.1196,0,0
"558","Whanganui",2017,"United Future",0.0021,0,0
"559","Whangarei",2017,"ACT",0.0056,0,0
"560","Whangarei",2017,"Conservative Party",0.0523,0,0
"561","Whangarei",2017,"Green Party",0.098,0,0
"562","Whangarei",2017,"Labour Party",0.1785,0,0
"563","Whangarei",2017,"Mana",0.0105,0,0
"564","Whangarei",2017,"Maori Party",0.0053,0,0
"565","Whangarei",2017,"National Party",0.5024,0,0
"566","Whangarei",2017,"New Zealand First Party",0.134,0,0
"567","Whangarei",2017,"United Future",0.0025,0,0
"568","Wigram",2017,"ACT",0.0104,0,0
"569","Wigram",2017,"Conservative Party",0.0361,0,0
"570","Wigram",2017,"Green Party",0.1282,0,0
"571","Wigram",2017,"Labour Party",0.2867,0,0
"572","Wigram",2017,"Mana",0.0076,0,0
"573","Wigram",2017,"Maori Party",0.0047,0,0
"574","Wigram",2017,"National Party",0.4291,0,0
"575","Wigram",2017,"New Zealand First Party",0.0856,0,0
"576","Wigram",2017,"United Future",0.0028,0,0
