Electorate,Year,Party,Prev.Percent,Total.Vote,T.Chng,Prev.Weak,Prev.Strong
Rangitata,2017,Mana,0.0039,0.0142,0.0034,0.0039,0
Rangitata,2017,Maori Party,0.0026,0.0132,-0.0011,0.0026,0
Rangitata,2017,National Party,0.5555,0.4704,-0.0027,0.32,0.2355
Rangitata,2017,New Zealand First Party,0.0787,0.0866,0.0207,0.0787,0
Rangitata,2017,United Future,0.0031,0.0022,-0.0038,0.0031,0
Rangitikei,2017,ACT,0.0038,0.0069,-0.0038,0.0038,0
Rangitikei,2017,Conservative Party,0.061,0.0397,0.0132,0.061,0
Rangitikei,2017,Green Party,0.0781,0.107,-0.0036,0.0781,0
Rangitikei,2017,Labour Party,0.1849,0.2513,-0.0235,0.1849,0
Rangitikei,2017,Mana,0.006,0.0142,0.0034,0.006,0
Rangitikei,2017,Maori Party,0.0056,0.0132,-0.0011,0.0056,0
Rangitikei,2017,National Party,0.5364,0.4704,-0.0027,0.32,0.2164
Rangitikei,2017,New Zealand First Party,0.1129,0.0866,0.0207,0.1129,0
Rangitikei,2017,United Future,0.0022,0.0022,-0.0038,0.0022,0
Rimutaka,2017,ACT,0.0034,0.0069,-0.0038,0.0034,0
Rimutaka,2017,Conservative Party,0.0403,0.0397,0.0132,0.0403,0
Rimutaka,2017,Green Party,0.0852,0.107,-0.0036,0.0852,0
Rimutaka,2017,Labour Party,0.3288,0.2513,-0.0235,0.32,0.0088
Rimutaka,2017,Mana,0.0087,0.0142,0.0034,0.0087,0
Rimutaka,2017,Maori Party,0.004,0.0132,-0.0011,0.004,0
Rimutaka,2017,National Party,0.4145,0.4704,-0.0027,0.32,0.0945
Rimutaka,2017,New Zealand First Party,0.1028,0.0866,0.0207,0.1028,0
Rimutaka,2017,United Future,0.0033,0.0022,-0.0038,0.0033,0
Rodney,2017,ACT,0.0049,0.0069,-0.0038,0.0049,0
Rodney,2017,Conservative Party,0.0677,0.0397,0.0132,0.0677,0
Rodney,2017,Green Party,0.0852,0.107,-0.0036,0.0852,0
Rodney,2017,Labour Party,0.1233,0.2513,-0.0235,0.1233,0
Rodney,2017,Mana,0.0059,0.0142,0.0034,0.0059,0
Rodney,2017,Maori Party,0.0036,0.0132,-0.0011,0.0036,0
Rodney,2017,National Party,0.6116,0.4704,-0.0027,0.32,0.2916
Rodney,2017,New Zealand First Party,0.0909,0.0866,0.0207,0.0909,0
Rodney,2017,United Future,0.0021,0.0022,-0.0038,0.0021,0
Rongotai,2017,ACT,0.0031,0.0069,-0.0038,0.0031,0
Rongotai,2017,Conservative Party,0.0162,0.0397,0.0132,0.0162,0
Rongotai,2017,Green Party,0.2642,0.107,-0.0036,0.207,0.0572
Rongotai,2017,Labour Party,0.3052,0.2513,-0.0235,0.3052,0
Rongotai,2017,Mana,0.0147,0.0142,0.0034,0.0147,0
Rongotai,2017,Maori Party,0.0062,0.0132,-0.0011,0.0062,0
Rongotai,2017,National Party,0.3273,0.4704,-0.0027,0.32,0.0073
Rongotai,2017,New Zealand First Party,0.0544,0.0866,0.0207,0.0544,0
Rongotai,2017,United Future,0.0037,0.0022,-0.0038,0.0037,0
Rotorua,2017,ACT,0.0042,0.0069,-0.0038,0.0042,0
Rotorua,2017,Conservative Party,0.0401,0.0397,0.0132,0.0401,0
Rotorua,2017,Green Party,0.0675,0.107,-0.0036,0.0675,0
Rotorua,2017,Labour Party,0.2117,0.2513,-0.0235,0.2117,0
Rotorua,2017,Mana,0.008,0.0142,0.0034,0.008,0
Rotorua,2017,Maori Party,0.0143,0.0132,-0.0011,0.0143,0
Rotorua,2017,National Party,0.5205,0.4704,-0.0027,0.32,0.2005
Rotorua,2017,New Zealand First Party,0.122,0.0866,0.0207,0.122,0
Rotorua,2017,United Future,0.0021,0.0022,-0.0038,0.0021,0
Selwyn,2017,ACT,0.0039,0.0069,-0.0038,0.0039,0
Selwyn,2017,Conservative Party,0.0349,0.0397,0.0132,0.0349,0
Selwyn,2017,Green Party,0.109,0.107,-0.0036,0.109,0
Selwyn,2017,Labour Party,0.1297,0.2513,-0.0235,0.1297,0
Selwyn,2017,Mana,0.0051,0.0142,0.0034,0.0051,0
Selwyn,2017,Maori Party,0.0031,0.0132,-0.0011,0.0031,0
Selwyn,2017,National Party,0.6358,0.4704,-0.0027,0.32,0.3158
Selwyn,2017,New Zealand First Party,0.0695,0.0866,0.0207,0.0695,0
Selwyn,2017,United Future,0.0024,0.0022,-0.0038,0.0024,0
Tamaki,2017,ACT,0.0137,0.0069,-0.0038,0.0137,0
Tamaki,2017,Conservative Party,0.0306,0.0397,0.0132,0.0306,0
Tamaki,2017,Green Party,0.0881,0.107,-0.0036,0.0881,0
Tamaki,2017,Labour Party,0.1481,0.2513,-0.0235,0.1481,0
Tamaki,2017,Mana,0.0072,0.0142,0.0034,0.0072,0
Tamaki,2017,Maori Party,0.0048,0.0132,-0.0011,0.0048,0
Tamaki,2017,National Party,0.657,0.4704,-0.0027,0.32,0.337
Tamaki,2017,New Zealand First Party,0.0442,0.0866,0.0207,0.0442,0
Tamaki,2017,United Future,0.0019,0.0022,-0.0038,0.0019,0
Taranaki-King Country,2017,ACT,0.0036,0.0069,-0.0038,0.0036,0
Taranaki-King Country,2017,Conservative Party,0.0568,0.0397,0.0132,0.0568,0
Taranaki-King Country,2017,Green Party,0.0721,0.107,-0.0036,0.0721,0
Taranaki-King Country,2017,Labour Party,0.1335,0.2513,-0.0235,0.1335,0
Taranaki-King Country,2017,Mana,0.0057,0.0142,0.0034,0.0057,0
Taranaki-King Country,2017,Maori Party,0.0055,0.0132,-0.0011,0.0055,0
Taranaki-King Country,2017,National Party,0.6146,0.4704,-0.0027,0.32,0.2946
Taranaki-King Country,2017,New Zealand First Party,0.0948,0.0866,0.0207,0.0948,0
Taranaki-King Country,2017,United Future,0.0025,0.0022,-0.0038,0.0025,0
Taupo,2017,ACT,0.0025,0.0069,-0.0038,0.0025,0
Taupo,2017,Conservative Party,0.0477,0.0397,0.0132,0.0477,0
Taupo,2017,Green Party,0.0614,0.107,-0.0036,0.0614,0
Taupo,2017,Labour Party,0.1863,0.2513,-0.0235,0.1863,0
Taupo,2017,Mana,0.0052,0.0142,0.0034,0.0052,0
Taupo,2017,Maori Party,0.0082,0.0132,-0.0011,0.0082,0
Taupo,2017,National Party,0.5713,0.4704,-0.0027,0.32,0.2513
Taupo,2017,New Zealand First Party,0.1029,0.0866,0.0207,0.1029,0
Taupo,2017,United Future,0.0026,0.0022,-0.0038,0.0026,0
Tauranga,2017,ACT,0.0036,0.0069,-0.0038,0.0036,0
Tauranga,2017,Conservative Party,0.0578,0.0397,0.0132,0.0578,0
Tauranga,2017,Green Party,0.0712,0.107,-0.0036,0.0712,0
Tauranga,2017,Labour Party,0.1443,0.2513,-0.0235,0.1443,0
Tauranga,2017,Mana,0.0048,0.0142,0.0034,0.0048,0
Tauranga,2017,Maori Party,0.006,0.0132,-0.0011,0.006,0
Tauranga,2017,National Party,0.5581,0.4704,-0.0027,0.32,0.2381
Tauranga,2017,New Zealand First Party,0.145,0.0866,0.0207,0.145,0
Tauranga,2017,United Future,0.0025,0.0022,-0.0038,0.0025,0
Te Atatu,2017,ACT,0.0136,0.0069,-0.0038,0.0136,0
Te Atatu,2017,Conservative Party,0.0375,0.0397,0.0132,0.0375,0
Te Atatu,2017,Green Party,0.0811,0.107,-0.0036,0.0811,0
Te Atatu,2017,Labour Party,0.3504,0.2513,-0.0235,0.32,0.0304
Te Atatu,2017,Mana,0.0115,0.0142,0.0034,0.0115,0
Te Atatu,2017,Maori Party,0.0043,0.0132,-0.0011,0.0043,0
Te Atatu,2017,National Party,0.4112,0.4704,-0.0027,0.32,0.0912
Te Atatu,2017,New Zealand First Party,0.0841,0.0866,0.0207,0.0841,0
Te Atatu,2017,United Future,0.0016,0.0022,-0.0038,0.0016,0
Tukituki,2017,ACT,0.004,0.0069,-0.0038,0.004,0
Tukituki,2017,Conservative Party,0.0656,0.0397,0.0132,0.0656,0
Tukituki,2017,Green Party,0.0857,0.107,-0.0036,0.0857,0
Tukituki,2017,Labour Party,0.2284,0.2513,-0.0235,0.2284,0
Tukituki,2017,Mana,0.0068,0.0142,0.0034,0.0068,0
Tukituki,2017,Maori Party,0.0052,0.0132,-0.0011,0.0052,0
Tukituki,2017,National Party,0.52,0.4704,-0.0027,0.32,0.2
Tukituki,2017,New Zealand First Party,0.076,0.0866,0.0207,0.076,0
Tukituki,2017,United Future,0.0016,0.0022,-0.0038,0.0016,0
Upper Harbour,2017,ACT,0.0135,0.0069,-0.0038,0.0135,0
Upper Harbour,2017,Conservative Party,0.0485,0.0397,0.0132,0.0485,0
Upper Harbour,2017,Green Party,0.07,0.107,-0.0036,0.07,0
Upper Harbour,2017,Labour Party,0.2345,0.0142,-0.0235,0.1142,0.1203
Upper Harbour,2017,Mana,0.0086,0.2513,0.0034,0.0086,0
Upper Harbour,2017,Maori Party,0.0036,0.0132,-0.0011,0.0036,0
Upper Harbour,2017,National Party,0.5446,0.4704,-0.0027,0.32,0.2246
Upper Harbour,2017,New Zealand First Party,0.0695,0.0866,0.0207,0.0695,0
Upper Harbour,2017,United Future,0.0021,0.0022,-0.0038,0.0021,0
Waikato,2017,ACT,0.0053,0.0069,-0.0038,0.0053,0
Waikato,2017,Conservative Party,0.0572,0.0397,0.0132,0.0572,0
Waikato,2017,Green Party,0.0578,0.107,-0.0036,0.0578,0
Waikato,2017,Labour Party,0.1478,0.2513,-0.0235,0.1478,0
Waikato,2017,Mana,0.005,0.0142,0.0034,0.005,0
Waikato,2017,Maori Party,0.0055,0.0132,-0.0011,0.0055,0
Waikato,2017,National Party,0.6021,0.4704,-0.0027,0.32,0.2821
Waikato,2017,New Zealand First Party,0.1079,0.0866,0.0207,0.1079,0
Waikato,2017,United Future,0.0022,0.0022,-0.0038,0.0022,0
Waimakariri,2017,ACT,0.0022,0.0069,-0.0038,0.0022,0
Waimakariri,2017,Conservative Party,0.0433,0.0397,0.0132,0.0433,0
Waimakariri,2017,Green Party,0.0887,0.107,-0.0036,0.0887,0
Waimakariri,2017,Labour Party,0.1896,0.2513,-0.0235,0.1896,0
Waimakariri,2017,Mana,0.0039,0.0142,0.0034,0.0039,0
Waimakariri,2017,Maori Party,0.0026,0.0132,-0.0011,0.0026,0
Waimakariri,2017,National Party,0.5751,0.4704,-0.0027,0.32,0.2551
Waimakariri,2017,New Zealand First Party,0.0847,0.0866,0.0207,0.0847,0
Waimakariri,2017,United Future,0.0018,0.0022,-0.0038,0.0018,0
Wairarapa,2017,ACT,0.0033,0.0069,-0.0038,0.0033,0
Wairarapa,2017,Conservative Party,0.0434,0.0397,0.0132,0.0434,0
Wairarapa,2017,Green Party,0.0838,0.107,-0.0036,0.0838,0
Wairarapa,2017,Labour Party,0.2062,0.2513,-0.0235,0.2062,0
Wairarapa,2017,Mana,0.0044,0.0142,0.0034,0.0044,0
Wairarapa,2017,Maori Party,0.0056,0.0132,-0.0011,0.0056,0
Wairarapa,2017,National Party,0.5248,0.4704,-0.0027,0.32,0.2048
Wairarapa,2017,New Zealand First Party,0.1174,0.0866,0.0207,0.1174,0
Wairarapa,2017,United Future,0.0016,0.0022,-0.0038,0.0016,0
Waitaki,2017,ACT,0.0027,0.0069,-0.0038,0.0027,0
Waitaki,2017,Conservative Party,0.0439,0.0397,0.0132,0.0439,0
Waitaki,2017,Green Party,0.1106,0.107,-0.0036,0.1106,0
Waitaki,2017,Labour Party,0.1807,0.2513,-0.0235,0.1807,0
Waitaki,2017,Mana,0.004,0.0142,0.0034,0.004,0
Waitaki,2017,Maori Party,0.0026,0.0132,-0.0011,0.0026,0
Waitaki,2017,National Party,0.5716,0.4704,-0.0027,0.32,0.2516
Waitaki,2017,New Zealand First Party,0.0697,0.0866,0.0207,0.0697,0
Waitaki,2017,United Future,0.0024,0.0022,-0.0038,0.0024,0
Wellington Central,2017,ACT,0.007,0.0069,-0.0038,0.007,0
Wellington Central,2017,Conservative Party,0.0151,0.0397,0.0132,0.0151,0
Wellington Central,2017,Green Party,0.2958,0.107,-0.0036,0.207,0.0888
Wellington Central,2017,Labour Party,0.2384,0.2513,-0.0235,0.2384,0
Wellington Central,2017,Mana,0.0148,0.0142,0.0034,0.0148,0
Wellington Central,2017,Maori Party,0.0077,0.0132,-0.0011,0.0077,0
Wellington Central,2017,National Party,0.3764,0.4704,-0.0027,0.32,0.0564
Wellington Central,2017,New Zealand First Party,0.0358,0.0866,0.0207,0.0358,0
Wellington Central,2017,United Future,0.003,0.0022,-0.0038,0.003,0
West Coast-Tasman,2017,ACT,0.0026,0.0069,-0.0038,0.0026,0
West Coast-Tasman,2017,Conservative Party,0.0512,0.0397,0.0132,0.0512,0
West Coast-Tasman,2017,Green Party,0.1299,0.107,-0.0036,0.1299,0
West Coast-Tasman,2017,Labour Party,0.2353,0.2513,-0.0235,0.2353,0
West Coast-Tasman,2017,Mana,0.0076,0.0142,0.0034,0.0076,0
West Coast-Tasman,2017,Maori Party,0.0028,0.0132,-0.0011,0.0028,0
West Coast-Tasman,2017,National Party,0.4478,0.4704,-0.0027,0.32,0.1278
West Coast-Tasman,2017,New Zealand First Party,0.0871,0.0866,0.0207,0.0871,0
West Coast-Tasman,2017,United Future,0.002,0.0022,-0.0038,0.002,0
Whanganui,2017,ACT,0.0047,0.0069,-0.0038,0.0047,0
Whanganui,2017,Conservative Party,0.0502,0.0397,0.0132,0.0502,0
Whanganui,2017,Green Party,0.0721,0.107,-0.0036,0.0721,0
Whanganui,2017,Labour Party,0.2553,0.2513,-0.0235,0.2553,0
Whanganui,2017,Mana,0.0073,0.0142,0.0034,0.0073,0
Whanganui,2017,Maori Party,0.0058,0.0132,-0.0011,0.0058,0
Whanganui,2017,National Party,0.4728,0.4704,-0.0027,0.32,0.1528
Whanganui,2017,New Zealand First Party,0.1196,0.0866,0.0207,0.1196,0
Whanganui,2017,United Future,0.0021,0.0022,-0.0038,0.0021,0
Whangarei,2017,ACT,0.0056,0.0069,-0.0038,0.0056,0
Whangarei,2017,Conservative Party,0.0523,0.0397,0.0132,0.0523,0
Whangarei,2017,Green Party,0.098,0.107,-0.0036,0.098,0
Whangarei,2017,Labour Party,0.1785,0.2513,-0.0235,0.1785,0
Whangarei,2017,Mana,0.0105,0.0142,0.0034,0.0105,0
Whangarei,2017,Maori Party,0.0053,0.0132,-0.0011,0.0053,0
Whangarei,2017,National Party,0.5024,0.4704,-0.0027,0.32,0.1824
Whangarei,2017,New Zealand First Party,0.134,0.0866,0.0207,0.134,0
Whangarei,2017,United Future,0.0025,0.0022,-0.0038,0.0025,0
Wigram,2017,ACT,0.0104,0.0069,-0.0038,0.0104,0
Wigram,2017,Conservative Party,0.0361,0.0397,0.0132,0.0361,0
Wigram,2017,Green Party,0.1282,0.107,-0.0036,0.1282,0
Wigram,2017,Labour Party,0.2867,0.2513,-0.0235,0.2867,0
Wigram,2017,Mana,0.0076,0.0142,0.0034,0.0076,0
Wigram,2017,Maori Party,0.0047,0.0132,-0.0011,0.0047,0
Wigram,2017,National Party,0.4291,0.4704,-0.0027,0.32,0.1091
Wigram,2017,New Zealand First Party,0.0856,0.0866,0.0207,0.0856,0
Wigram,2017,United Future,0.0028,0.0022,-0.0038,0.0028,0
